media,Selectivity,D,C,S,A
Carnegie Mellon University,0.11304398587315,518320000,14574,208104.0208590641,-0.11304398587315
Clarkson University,0.7841977555353351,17668000,3652,59310.70071193866,-0.7841977555353351
Illinois Institute of Technology,0.6143863040176722,51926000,4949,59401.495251565975,-0.6143863040176722
Lehigh University,0.3697817054672558,73070000,6864,330761.21794871794,-0.3697817054672558
Loyola Marymount University,0.41313666743489286,5648000,8209,77634.66926544037,-0.41313666743489286
Northeastern University,0.06803296703296703,300186000,27825,57963.48607367475,-0.06803296703296703
Rensselaer Polytechnic Institute,0.6450809464508095,101210000,7753,120752.74087450019,-0.6450809464508095
Rice University,0.08682377635721782,210690000,8878,883638.3194413156,-0.08682377635721782
Rochester Institute of Technology,0.6717133800467133,66746000,14026,89603.6646228433,-0.6717133800467133
Stevens Institute of Technology,0.46224,83672000,6947,38721.750395854324,-0.46224
Syracuse University,0.5175106654775965,67952000,22129,82713.45293506258,-0.5175106654775965
Villanova University,0.23394168239983218,12952000,9567,121827.74119368663,-0.23394168239983218
Worcester Polytechnic Institute,0.574790930252608,68008000,6730,95202.67459138187,-0.574790930252608
